product_name,product_url,product_image
Bánh nướng TUYẾT TRÀ XANH NHẬT BẢN 150G - Bánh mới 2025,https://banhkinhdo.com.vn/san-pham/thap-cam-lap-xuong-0-trung-130g-2022/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20273%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Cốm Dừa ( 0 Trứng) 150G - 2025,https://banhkinhdo.com.vn/san-pham/com-dua-0-trung-150g-2022/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Đậu Đỏ Kiểu Nhật ( 02 Trứng) 210G - 2025,https://banhkinhdo.com.vn/san-pham/dau-do-kieu-nhat-0-trung-230g-2022/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Đậu Đỏ ( 1 trứng) 150G - 2025,https://banhkinhdo.com.vn/san-pham/dau-do-1-trung-150g-2022/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Đậu Xanh ( 0 Trứng ) 150G - 2025,https://banhkinhdo.com.vn/san-pham/dau-xanh-0-trung-150g-2022/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20233%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Cốm Dừa Hạt Dẻ (ĐB)_230G - Miền Bắc,https://banhkinhdo.com.vn/san-pham/banh-com-dua-hat-de-db-mien-bac/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Sầu Riêng 1 Trứng 150g - 2025,https://banhkinhdo.com.vn/san-pham/sau-rieng-1-trung/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Gà Quay Jampon 0 Trứng x150g - 2025,https://banhkinhdo.com.vn/san-pham/ga-quay-jampon-0-trung-x150g-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20258%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Gà Quay Sốt XO 2 Trứng 210g - 2025,https://banhkinhdo.com.vn/san-pham/ga-quay-sot-xo-2-trung-db/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Thập cẩm Jambon 1 Trứng 150g - 2025,https://banhkinhdo.com.vn/san-pham/thap-cam-jambon-1-trung/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Jambon  Xá Xíu 2 Trứng 210g - 2025,https://banhkinhdo.com.vn/san-pham/jambon-xa-xiu-2-trung-db/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Thập Cẩm Lạp Xưởng 1 Trứng 150g - 2025,https://banhkinhdo.com.vn/san-pham/lap-xuong-ngu-hat-1-trung/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
